type,entity,count
PLACE/GROUP,england,1751
PLACE/GROUP,rome,1432
PLACE/GROUP,france,1294
PLACE/GROUP,french,1230
PLACE/GROUP,english,1134
PLACE/GROUP,london,1011
PLACE/GROUP,christian,885
PLACE/GROUP,thou,729
PLACE/GROUP,venice,620
PLACE/GROUP,d.,554
PERSON,knowne,301
PERSON,hee,294
PERSON,lib,193
PERSON,hundreth pounds,149
PERSON,philip,135
PERSON,al,124
PERSON,li,123
PERSON,hundreth,123
PERSON,peter,118
PERSON,don,107
ORG,bee,1726
ORG,senate,345
ORG,germanie,158
ORG,shee,114
ORG,neuerthelesse,56
ORG,^e,52
ORG,apollo,42
ORG,mensura,39
ORG,deerer,34
ORG,knowne,32
